id,name,type,description
mtd,Метод,str,"Метод ""Разговор"": респонденту задавался ряд вопросов, способных спровоцировать исследуемые слова. Метод ""Чтение с листа"": респонденту предлагалось прочитать словосочетания, поставив слова в скобках в нужную форму."
word,Слово,str,
res,Результат,str,"нд - респондент не произнёс исследуемого слова, е - мягкое произнесение, э - твёрдое произнесение. Все респонденты были опрошены по всем методам и по всем словам."
age,Возраст,int,"Возраст респондента в день проведения исследования"
sex,Пол,str,
birthPlace,Место рождения,str,"Место рождения респондента"
schoolPlace,Местонахождение школы,str,"Место, где респондент заканчивал школу"
inMoscowSince,В Москве с,int,"С какого возраста респондент проживает в Москве. Если с рождения - 0."
birthPlaceMother,Место проживания матери,str,"Название места, в котором выросла мать респондента"
birthPlaceFather,Место проживания отца,str,"Название места, в котором вырос отец респондента"
educLevel,Уровень образования,str,
educProfile,Профиль образования,str,
engLevel,Уровень владения английским языком,str,
